Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_12871	15	0	3	0	0	3	1	0	4	0
k141_63183	1	0	2	77	9	7	0	185	0	70
k141_38011	4	0	28	136	0	5	0	0	4	3
k141_12872	0	0	0	0	1	2	0	0	56	0
k141_88198	45	62	21	26	61	27	64	1	0	28
k141_12873	34	39	28	25	2	5	25	23	0	56
k141_25429	13	39	36	8	9	11	19	78831	12792	7
k141_25433	0	0	7	16	0	0	0	0	8	1
k141_88200	0	0	15	78	1	9	0	0	8	6
k141_38019	2	14	0	6	1	8	25	5	3	0
k141_63210	1	0	0	1	0	1	2	1	1	16
k141_25444	0	0	16	43	1	0	0	0	0	0
k141_88208	10	0	7	5	0	0	0	0	0	0
k141_25451	1	0	0	0	0	0	0	0	17	0
k141_12897	0	0	9	32	0	4	0	0	0	0
k141_25452	0	0	0	1	0	0	0	0	25	1
k141_25456	215	881	168	122	586	235	928	16	0	77
k141_88223	3	0	2	0	1	1	0	0	8	59
k141_38031	94	10	136	99	519	40	15	8	39	66
k141_38032	1	1	1	11	3	4	0	0	2	3
k141_88227	3	0	6	4	0	0	0	0	0	2
k141_63212	5	2	22	76	10	13	0	189	13	81
k141_88228	2	1	0	10	3	14	0	0	43	11
k141_38035	0	0	0	1	0	1	0	0	0	18
k141_12900	0	38	12	2	17	2	42	185	0	0
k141_63217	8	0	2	3	3	4	0	0	7	6
k141_88230	21	0	25	7	6	2	0	5	2	24
k141_416	675	257	3714	641	893	759	76	50	5771	1216
k141_38049	12	0	2	14	1	3	0	1	0	6
k141_88236	0	0	177	128	0	1	0	16	287	100
k141_433	7	0	1	4	2	18	0	0	6	3
k141_435	4	10	0	3	8	52	2	20	0	2
k141_25461	0	57	0	1	88	26	223	6	4	2
k141_63234	0	0	1	0	8	0	37	0	0	0
k141_441	0	0	0	0	3	1	14	0	0	0
k141_63238	6	0	3	0	0	0	0	0	0	2
k141_63239	0	0	0	0	0	2	0	0	20	0
k141_88244	72	8	112	166	407	38	33	2	41	62
k141_63241	0	1	0	0	0	2	0	0	10	48
k141_88247	3	0	1	9	2	7	0	0	0	7
k141_12902	554	2	591	584	23	17	2	3	147	137
k141_445	0	0	23	115	3	4	0	0	1	35
k141_88250	0	1	0	0	0	4	0	0	0	22
k141_63246	0	0	0	1	9	0	27	0	0	1
k141_12906	0	0	0	0	0	0	0	1	0	41
k141_455	0	0	0	0	0	0	0	0	16	1
k141_12913	0	0	1	1	8	0	21	0	4	0
k141_12916	0	0	0	0	0	1	0	0	1	20
k141_457	9	12	4	6	13	7	15	0	0	4
k141_63255	77	0	24	19	1	6	0	0	0	5
k141_466	1	3	3	0	8	1	0	0	0	2
k141_63258	0	0	0	0	3	0	0	0	0	13
k141_25462	665	2	778	705	21	10	1	2	238	187
k141_12924	0	0	4	0	1	1	0	0	5	53
k141_63261	5	0	1	4	0	1	0	0	10	34
k141_25468	3	0	0	0	0	1	0	0	9	3
k141_475	0	3	0	1	0	5	0	0	3	20
k141_12934	0	0	4	5	1	0	0	0	7	0
k141_25477	0	0	0	1	0	6	0	0	0	25
k141_482	0	0	0	0	0	1	1	0	0	15
k141_63269	5	15	5	11	22	10	23	0	0	9
k141_12939	1	0	0	4	1	20	0	0	28	5
k141_25478	0	0	0	0	8	2	31	1	0	0
k141_25479	5	2	0	5	1	14	1	0	6	15
k141_38052	341	38	583	507	1859	139	72	24	116	206
k141_63274	8	0	7	13	4	2	1	1	1	19
k141_12943	0	0	0	2	0	0	0	0	39	0
k141_25480	2	0	12	46	0	0	0	0	6	3
k141_25481	2	0	0	0	8	0	16	0	0	0
k141_491	6	0	5	10	10	24	0	0	28	9
k141_63278	0	0	0	0	0	0	0	0	1	15
k141_25484	0	1	0	0	4	0	15	0	0	0
k141_38061	0	1	0	0	0	1	0	0	6	57
k141_63280	0	0	0	0	0	0	0	0	12	0
